ID,timestamp1,timestamp2,365 email,365 name,number,name,GPA,credit,studio name,score,studio name,score,studio name,score,studio name,score,studio name,score,studio name,score,studio name,score,studio name,score,studio name,score,studio name,score,studio name,score,studio name,score,emergency email,cellphone
0,hogehoge,hogehoge,email,Name,9157149,49974703-ace4-435f-80b3-2181dff14e43,2.2638034358908663,109,Software,5,Ergonomics,5,Editorial,5,VisualCommunication,5,Interior,5,EquipmentService,5,Transportation,2,Interactive,5,Kinematograph,4,Spatial,2,Network,1,Interface,2,Email2,phonenumber
1,hogehoge,hogehoge,email,Name,7241174,d47d8450-7f9c-42e1-9cf6-caf9e05d5842,3.912937532914711,122,Transportation,5,EquipmentService,4,Ergonomics,4,Interface,4,Editorial,4,Interactive,2,Network,5,VisualCommunication,3,Spatial,4,Interior,5,Kinematograph,1,Software,1,Email2,phonenumber
2,hogehoge,hogehoge,email,Name,3500053,d7804bb9-a2b6-4506-b200-a8578d50c6fd,2.609593554729659,125,Spatial,5,Ergonomics,4,Interface,5,Interior,4,VisualCommunication,4,Network,5,Transportation,3,EquipmentService,3,Interactive,4,Editorial,3,Software,0,Kinematograph,4,Email2,phonenumber
3,hogehoge,hogehoge,email,Name,9215000,3d3a2b0c-6437-4009-9753-77bdaee027b0,2.121995382578052,95,VisualCommunication,5,Transportation,5,Interface,4,Editorial,5,Network,5,Software,5,Interactive,2,Spatial,5,Interior,2,Ergonomics,4,Kinematograph,0,EquipmentService,2,Email2,phonenumber
4,hogehoge,hogehoge,email,Name,3255761,7d98c26f-ca6a-485c-aee4-352223f010c5,3.020345382233508,107,Interactive,5,Transportation,4,Kinematograph,5,Spatial,5,Interface,4,Ergonomics,3,Interior,3,Network,5,VisualCommunication,4,EquipmentService,4,Software,0,Editorial,5,Email2,phonenumber
5,hogehoge,hogehoge,email,Name,8999556,84e2b2d3-6d37-473f-8585-8a00897d1ed7,2.3749132510424564,95,Interactive,5,Interface,4,Interior,4,Network,3,Software,5,Ergonomics,5,Spatial,3,Editorial,2,Transportation,3,VisualCommunication,4,EquipmentService,1,Kinematograph,5,Email2,phonenumber
6,hogehoge,hogehoge,email,Name,2827373,dba63849-f24d-40df-b24c-55f6a7fa713d,3.901838502923815,118,VisualCommunication,5,Network,5,EquipmentService,4,Interface,4,Ergonomics,4,Spatial,2,Transportation,5,Software,4,Kinematograph,2,Editorial,1,Interactive,3,Interior,5,Email2,phonenumber
7,hogehoge,hogehoge,email,Name,8458716,feca2f8e-2191-4040-a969-f89146d76bfa,2.3926047987898142,109,Interior,5,Interactive,5,EquipmentService,4,Interface,5,Spatial,3,Editorial,5,Transportation,3,Network,4,Kinematograph,3,Ergonomics,1,VisualCommunication,4,Software,2,Email2,phonenumber
8,hogehoge,hogehoge,email,Name,6714453,5df154a0-1882-44b3-b2a5-22b109a2049c,2.644515536442463,112,Interior,5,Software,5,Editorial,4,Interface,3,Spatial,3,Transportation,4,VisualCommunication,2,Ergonomics,2,Interactive,5,Kinematograph,1,Network,2,EquipmentService,5,Email2,phonenumber
9,hogehoge,hogehoge,email,Name,8053575,906f3e8a-0c88-4c1c-ab96-da5b5b51c5f7,2.2401026234691837,111,Software,5,Network,5,Interface,5,Editorial,4,Spatial,4,Interactive,5,Transportation,4,Kinematograph,5,Ergonomics,5,VisualCommunication,5,Interior,3,EquipmentService,3,Email2,phonenumber
10,hogehoge,hogehoge,email,Name,4501519,4c975cdb-1499-4c9f-aa1e-dbdec077ff02,3.630726637682706,111,Network,5,Interface,4,EquipmentService,5,Kinematograph,3,Spatial,4,Editorial,5,Transportation,4,Interior,3,Ergonomics,2,Software,4,Interactive,3,VisualCommunication,4,Email2,phonenumber
